Height,Weight,HandSize,ArmLength,FortyTime,TwentyTime,TenTime,Bench,Vertical,BroadJump,Shuttle,ThreeCone,SixtyShuttle,LastYearRecAvg,CareerRecAvg,LastYearReturnAvg,CareerReturnAvg,DraftRound,College,DraftYear,CareerRec,LastYearRec
73.63,209.0,,,,,,,,,,,,0,0,,24.0,0,Georgia,2019,0,0
72.75,186.0,,,,,,,,,,,,17.9,18.7,0,0,0,Georgia Tech,2019,842,268
71.25,192.0,,,,,,,,,,,,13.2,15.0,0,0,0,Penn State,2019,1245,329
73.5,205.0,,,4.57,2.66,1.61,19.0,38.5,119.0,4.03,6.87,,13.5,18.3,0,0,0,Toledo,2019,3312,647
74.0,197.0,,,,,,,,,,,,9.0,9.5,0,0,0,Clemson,2019,506,189
68.88,158.0,,,,,,,,,,,,14.1,12.1,26.0,28.0,0,Texas Christian,2019,1748,410
69.13,178.0,,,,,,,,,,,,15.1,14.1,0,0,7,Hawaii,2019,2662,1343
75.5,215.0,,,4.63,2.78,1.72,16.0,32.5,119.0,4.66,,,14.0,15.0,0,0,0,South Alabama,2019,1617,855
75.13,218.0,,,,,,,,,,,,0,0,0,0,0,California,2019,0,0
71.88,190.0,,,4.45,2.61,1.58,13.0,38.5,125.0,4.44,7.4,,0,0,0,0,0,Northern Colorado,2019,0,0
76.13,206.0,,,,,,6.0,37.0,117.0,4.26,7.07,,16.0,15.8,0,0,0,Texas Tech,2019,1547,1410
70.63,193.0,,,,,,,,,,,,10.0,11.5,0,0,0,California,2019,1730,502
74.0,208.0,,,,,,,,,,,,0,0,0,0,0,Monmouth (NJ),2019,0,0
76.25,211.0,,,,,,,,,,,,14.0,14.2,19.8,19.8,0,Colorado State,2019,1592,1345
73.13,210.0,,,,,,,,,,,,11.6,13.5,0,0,6,Colorado,2019,807,324
73.25,196.0,,,,,,,,,,,,0,0,0,0,0,Franklin,2018,0,0
76.5,216.0,9.88,32.88,4.62,2.73,1.64,13.0,34.0,121.0,4.25,7.07,11.94,19.6,16.9,0,0,7,Oklahoma State,2018,2466,1156
68.25,175.0,,,,,,,,,,,,8.3,9.5,0,0,0,Texas Tech,2018,1499,487
68.63,184.0,9.25,28.0,,,,11.0,,,,,,12.3,11.8,0,0,6,Miami (FL),2018,1175,679
74.0,208.0,,,,,,,,,,,,17.0,19.6,0,0,0,Penn State,2018,979,289
71.63,186.0,8.63,31.5,,,,,,,,,,13.0,12.5,0,0,0,Southern California,2018,1897,1114
73.88,202.0,8.75,33.0,4.43,2.63,1.57,11.0,33.5,115.0,4.37,6.71,11.78,12.7,15.7,0,0,6,Clemson,2018,2040,734
70.63,200.0,9.5,31.5,4.41,2.57,1.52,,34.0,,,,,0,0,0,0,0,Florida,2018,0,0
74.88,226.0,9.25,31.38,4.59,2.64,1.55,18.0,38.5,130.0,4.03,6.56,10.85,11.5,11.9,0,0,6,Texas Tech,2018,1873,816
74.25,199.0,10.38,32.75,,,,,36.0,,,,,14.0,15.9,0,0,0,Utah,2018,2899,980
74.88,199.0,9.25,32.38,4.34,2.54,1.51,16.0,40.0,129.0,,,,21.9,20.5,0,0,2,Louisiana State,2018,1351,874
69.0,180.0,,,,,,,,,,,,11.5,9.9,24.7,24.7,0,Virginia Tech,2018,139,92
75.13,220.0,9.25,32.0,4.64,2.68,1.59,11.0,30.0,113.0,4.32,6.7,11.2,11.7,14.3,,15.0,0,Indiana,2018,1990,841
69.75,181.0,8.38,29.88,4.43,2.61,1.57,14.0,34.5,113.0,4.15,6.93,,15.4,15.2,31.5,25.8,4,Texas Tech,2018,2424,1429
72.88,191.0,,,,,,,,,,,,0,0,0,0,0,Bethune-Cookman (FL),2018,0,0
71.38,211.0,,,,,,,,,,,,16.4,14.9,,10.0,0,Texas Christian,2018,1429,575
71.75,205.0,,,,,,,,,,,,9.0,12.4,26.5,19.7,0,Texas,2018,1070,280
73.63,196.0,9.25,32.13,4.41,2.62,1.58,,31.0,,4.2,6.9,11.9,12.4,11.1,0,0,0,Alabama,2018,389,174
73.5,206.0,,,,,,,,,,,,0,0,0,0,0,Northern Iowa,2018,0,0
72.0,186.0,,,,,,,,,,,,0,0,0,0,6,Louisiana State,2018,0,0
72.75,205.0,9.25,31.5,4.51,2.66,1.6,10.0,36.0,122.0,4.37,6.95,11.84,14.2,15.3,0,0,3,Colorado State,2018,2690,1418
69.63,204.0,,,,,,,,,,,,8.9,15.2,0,0,0,Mississippi State,2018,1309,214
72.75,199.0,9.38,31.38,4.51,2.63,1.55,19.0,34.5,124.0,,,,15.0,13.1,24.5,24.5,0,East Carolina (NC),2018,1767,886
72.63,203.0,9.38,31.0,,,,,34.5,,4.15,6.84,,16.2,13.3,,0.0,4,Penn State,2018,2842,857
68.0,192.0,9.88,29.5,4.5,2.64,1.58,12.0,32.5,120.0,4.28,6.89,,0,0,21.0,26.6,0,Pittsburgh,2018,0,0
72.0,196.0,,,,,,,,,,,,0,0,0,0,0,James Madison (VA),2018,0,0
70.13,183.0,9.25,31.25,4.48,2.62,1.56,6.0,35.5,122.0,4.16,6.87,11.44,9.4,13.4,0,0,7,Middle Tennessee State,2018,3249,290
74.25,203.0,,,,,,,,,,,,17.7,15.9,20.5,28.0,0,Temple,2018,1417,742
74.13,213.0,,,,,,,,,,,,21.8,20.2,25.0,25.0,0,Georgia Tech,2018,1492,545
70.25,169.0,,,,,,,,,,,,11.2,13.4,,17.0,0,Kentucky,2018,2095,539
70.38,201.0,9.88,30.38,4.47,2.59,1.54,20.0,35.5,115.0,4.45,7.09,12.03,12.9,12.2,22.3,21.8,2,Texas A&M,2018,2856,919
74.5,221.0,,,,,,,,,,,,14.9,15.9,0,0,0,Temple,2018,1638,671
75.0,205.0,9.75,31.25,4.51,2.65,1.56,11.0,33.5,120.0,,,,13.2,14.6,11.0,16.2,0,Oklahoma State,2018,920,264
73.0,203.0,9.63,32.75,4.5,2.66,1.58,8.0,34.5,112.0,4.19,,,18.3,16.8,19.3,19.3,5,UCLA,2018,1901,1264
76.63,227.0,9.75,32.25,4.55,2.63,1.58,17.0,38.0,122.0,,,,13.3,13.9,0,0,0,Iowa State,2018,3360,941
72.63,177.0,9.13,32.13,4.8,2.79,1.67,,31.5,,,,,0,0,0,0,0,Washington State,2018,0,0
69.5,190.0,9.25,30.25,4.53,2.65,1.6,13.0,34.5,113.0,,,,10.3,9.7,0,0,6,Clemson,2018,1226,503
71.13,201.0,10.63,31.63,,,,22.0,,,,,,15.2,15.1,0,0,2,Memphis,2018,3590,1462
70.25,189.0,9.38,30.38,4.56,2.66,1.6,13.0,32.5,121.0,4.4,6.75,,15.7,11.8,,18.2,0,Southern California,2018,1287,644
72.0,210.0,9.63,31.63,4.42,2.59,1.54,15.0,39.5,132.0,4.07,6.95,11.18,12.9,13.9,0,0,1,Maryland,2018,2027,1033
74.63,207.0,9.38,32.88,4.6,2.72,1.64,21.0,38.0,120.0,4.04,6.56,,16.6,15.7,0,0,4,Missouri,2018,2477,1082
68.13,176.0,,,,,,,,,,,,12.6,12.5,25.1,24.2,0,Oregon,2018,1555,404
72.5,186.0,9.5,32.25,,,,,,,,,,12.1,13.8,0,0,2,Washington,2018,2256,761
72.13,201.0,8.88,30.5,,,,,,,,,,13.6,12.8,0,0,0,Virginia Tech,2018,3027,964
68.63,194.0,,,,,,,,,,,,13.8,13.1,0,0,0,Nebraska,2018,1309,623
68.0,181.0,,,,,,,,,,,,9.7,10.2,17.5,20.3,0,Florida,2018,1330,406
73.13,203.0,9.25,32.0,4.46,2.61,1.56,15.0,33.5,120.0,4.4,6.87,,24.1,19.6,26.1,27.6,0,Kansas State,2018,1355,724
69.13,182.0,,,,,,,,,,,,16.0,13.9,0,0,7,North Carolina,2018,1265,337
71.38,203.0,10.13,30.75,4.55,2.6,1.55,17.0,33.5,116.0,4.19,6.91,11.4,10.8,11.1,0,0,7,Southern Methodist (TX),2018,1512,1236
73.75,196.0,,,,,,,,,,,,23.1,19.6,0,0,6,Texas A&M,2018,920,694
72.5,189.0,,,4.43,2.6,1.55,15.0,31.0,110.0,4.41,6.88,,15.3,12.4,0,0,1,Alabama,2018,2781,967
72.63,212.0,,,4.56,2.65,1.58,13.0,34.0,123.0,,,,14.6,13.7,,17.0,0,Southern Mississippi,2018,1743,1106
69.63,194.0,,,,,,,,,,,,0,0,0,0,0,Western Carolina,2018,0,0
72.63,184.0,,,,,,,,,,,,0,0,0,0,0,West Georgia,2018,0,0
69.38,192.0,,,,,,,,,,,,11.8,11.5,,21.4,0,Colorado,2018,1643,508
76.75,218.0,,,4.56,2.62,1.56,16.0,34.5,124.0,4.4,7.2,,14.2,13.8,0,0,4,New Mexico State,2018,1362,1079
72.25,203.0,,,,,,,,,,,,14.6,13.7,0,0,0,Vanderbilt,2018,1869,729
75.63,212.0,,,,,,,,,,,,14.8,11.4,0,0,0,Alabama,2018,467,207
74.0,219.0,,,,,,,,,,,,9.7,9.4,0,0,0,Oklahoma,2018,170,97
68.38,167.0,,,,,,,,,,,,0,0,0,0,0,Boston College,2018,0,0
73.75,203.0,,,4.49,2.65,1.6,12.0,37.5,130.0,4.5,6.97,,19.8,16.4,0,0,3,Central Florida,2018,2748,1171
73.75,202.0,,,,,,,,,,,,0,0,0,0,0,Jacksonville State (AL),2018,0,0
76.75,214.0,,,4.48,2.59,1.54,20.0,,,,,,0,0,0,0,0,Notre Dame,2018,0,0
75.38,218.0,,,4.54,2.61,1.52,18.0,35.5,124.0,4.11,6.57,,16.0,16.5,0,0,2,Southern Methodist (TX),2018,3220,1085
76.88,228.0,,,4.68,2.72,1.64,,31.0,,,,,13.7,14.7,0,0,7,Florida State,2018,957,548
76.0,206.0,,,4.37,2.58,1.55,15.0,30.5,124.0,,,,16.6,15.4,19.5,19.5,5,South Florida,2018,1832,879
71.0,213.0,,,4.54,2.64,1.59,14.0,34.5,120.0,4.32,7.11,,20.9,19.8,,16.6,2,Oklahoma State,2018,4472,1549
74.38,215.0,,,,,,,,,,,,0,0,0,0,0,Pennsylvania,2018,0,0
74.25,211.0,,,4.43,2.63,1.6,15.0,38.0,129.0,4.41,7.24,,17.0,20.3,0,0,0,Pittsburgh,2018,1566,698
73.0,206.0,,,4.52,2.65,1.57,24.0,33.5,118.0,4.57,7.16,,16.5,15.0,0,0,0,West Virginia,2018,1862,1004
76.0,221.0,,,4.67,2.74,1.64,9.0,34.0,114.0,4.37,7.24,,0,0,0,0,0,South Dakota State,2018,0,0
